Date,USDINR
1999-12-01,43.4500
1999-12-02,43.4500
1999-12-03,43.4500
1999-12-06,43.4300
1999-12-07,43.5000
1999-12-08,43.5000
1999-12-09,43.5000
1999-12-10,43.5000
1999-12-13,43.5700
1999-12-14,43.6000
1999-12-15,43.5400
1999-12-16,43.5500
1999-12-17,43.5500
1999-12-20,43.5500
1999-12-21,43.5500
1999-12-22,43.5500
1999-12-23,43.5500
1999-12-24,43.5500
1999-12-27,43.5500
1999-12-28,43.5500
1999-12-29,43.5500
1999-12-30,43.5500
1999-12-31,43.5100
2000-01-03,43.5500
2000-01-04,43.5500
2000-01-05,43.5500
2000-01-06,43.5500
2000-01-07,43.5500
2000-01-10,43.5500
2000-01-11,43.6000
2000-01-12,43.6000
2000-01-13,43.5500
2000-01-14,43.5500
2000-01-17,
2000-01-18,43.6000
2000-01-19,43.6000
2000-01-20,43.6000
2000-01-21,43.6000
2000-01-24,43.6200
2000-01-25,43.5900
2000-01-26,43.6500
2000-01-27,43.6300
2000-01-28,43.6500
2000-01-31,43.6500
2000-02-01,43.6200
2000-02-02,43.6500
2000-02-03,43.6500
2000-02-04,43.6500
2000-02-07,43.6400
2000-02-08,43.6300
2000-02-09,43.6500
2000-02-10,43.5800
2000-02-11,43.6500
2000-02-14,43.6500
2000-02-15,43.6400
2000-02-16,43.7500
2000-02-17,43.6800
2000-02-18,43.6800
2000-02-21,
2000-02-22,43.6500
2000-02-23,43.6800
2000-02-24,43.6500
2000-02-25,43.6500
2000-02-28,43.6800
2000-02-29,43.6500
2000-03-01,43.6300
2000-03-02,43.6500
2000-03-03,43.6500
2000-03-06,43.6300
2000-03-07,43.6300
2000-03-08,43.6500
2000-03-09,43.6300
2000-03-10,43.6500
2000-03-13,43.6500
2000-03-14,43.6400
2000-03-15,43.6500
2000-03-16,43.5800
2000-03-17,43.6500
2000-03-20,43.6300
2000-03-21,43.5900
2000-03-22,43.6500
2000-03-23,43.6500
2000-03-24,43.6500
2000-03-27,43.6200
2000-03-28,43.6500
2000-03-29,43.6500
2000-03-30,43.6500
2000-03-31,43.6500
2000-04-03,43.6320
2000-04-04,43.6500
2000-04-05,43.6800
2000-04-06,43.6500
2000-04-07,43.6700
2000-04-10,43.6600
2000-04-11,43.6800
2000-04-12,43.7000
2000-04-13,43.7000
2000-04-14,43.7500
2000-04-17,43.6800
2000-04-18,43.7000
2000-04-19,43.7000
2000-04-20,43.6870
2000-04-21,43.7000
2000-04-24,43.6550
2000-04-25,43.7000
2000-04-26,43.7000
2000-04-27,43.7000
2000-04-28,43.7000
2000-05-01,43.6700
2000-05-02,43.7500
2000-05-03,43.7300
2000-05-04,43.6700
2000-05-05,43.7000
2000-05-08,43.7000
2000-05-09,43.7000
2000-05-10,44.3000
2000-05-11,44.4400
2000-05-12,44.1500
2000-05-15,44.4400
2000-05-16,44.0500
2000-05-17,44.0200
2000-05-18,44.0300
2000-05-19,44.0000
2000-05-22,44.0200
2000-05-23,44.1500
2000-05-24,44.2500
2000-05-25,44.2000
2000-05-26,44.4000
2000-05-29,
2000-05-30,44.6500
2000-05-31,44.6500
2000-06-01,44.6500
2000-06-02,44.7000
2000-06-05,44.7500
2000-06-06,44.7500
2000-06-07,44.8300
2000-06-08,44.8500
2000-06-09,44.8500
2000-06-12,44.8500
2000-06-13,44.8000
2000-06-14,44.7200
2000-06-15,44.8000
2000-06-16,44.8300
2000-06-19,44.8500
2000-06-20,44.7500
2000-06-21,44.7000
2000-06-22,44.7000
2000-06-23,44.7500
2000-06-26,44.7500
2000-06-27,44.7000
2000-06-28,44.7200
2000-06-29,44.7300
2000-06-30,44.7000
2000-07-03,44.7200
2000-07-04,
2000-07-05,44.6900
2000-07-06,44.8100
2000-07-07,44.7800
2000-07-10,44.7500
2000-07-11,44.7500
2000-07-12,44.7500
2000-07-13,44.7800
2000-07-14,44.7800
2000-07-17,44.7400
2000-07-18,44.8300
2000-07-19,44.8500
2000-07-20,45.0200
2000-07-21,44.8000
2000-07-24,44.7700
2000-07-25,44.9500
2000-07-26,44.9800
2000-07-27,44.9500
2000-07-28,44.9600
2000-07-31,45.1500
2000-08-01,45.1500
2000-08-02,45.4000
2000-08-03,45.4000
2000-08-04,45.4000
2000-08-07,45.6200
2000-08-08,45.8000
2000-08-09,45.7000
2000-08-10,45.9000
2000-08-11,45.9000
2000-08-14,45.8500
2000-08-15,45.8000
2000-08-16,45.8000
2000-08-17,45.9500
2000-08-18,45.9000
2000-08-21,45.7300
2000-08-22,45.7500
2000-08-23,45.9000
2000-08-24,46.0500
2000-08-25,46.0500
2000-08-28,45.8300
2000-08-29,46.0000
2000-08-30,45.9000
2000-08-31,45.9000
2000-09-01,45.8000
2000-09-04,
2000-09-05,45.7400
2000-09-06,45.6500
2000-09-07,46.0500
2000-09-08,45.7300
2000-09-11,45.6500
2000-09-12,45.7000
2000-09-13,45.7000
2000-09-14,45.8000
2000-09-15,45.8500
2000-09-18,46.1500
2000-09-19,46.4500
2000-09-20,46.3000
2000-09-21,46.0900
2000-09-22,46.1800
2000-09-25,46.1600
2000-09-26,46.1000
2000-09-27,46.1500
2000-09-28,46.0500
2000-09-29,46.0600
2000-10-02,46.1000
2000-10-03,46.1800
2000-10-04,46.1700
2000-10-05,46.1700
2000-10-06,46.1700
2000-10-09,
2000-10-10,46.2500
2000-10-11,46.3500
2000-10-12,46.3000
2000-10-13,46.4500
2000-10-16,46.4000
2000-10-17,46.3500
2000-10-18,46.4500
2000-10-19,46.4000
2000-10-20,46.4000
2000-10-23,46.4500
2000-10-24,46.4800
2000-10-25,46.7000
2000-10-26,46.7000
2000-10-27,46.7800
2000-10-30,46.7800
2000-10-31,46.9000
2000-11-01,46.8200
2000-11-02,46.8500
2000-11-03,46.7000
2000-11-06,46.6400
2000-11-07,46.7000
2000-11-08,46.7200
2000-11-09,46.7500
2000-11-10,46.7800
2000-11-13,46.7700
2000-11-14,46.8500
2000-11-15,46.8300
2000-11-16,46.8500
2000-11-17,46.8200
2000-11-20,46.9000
2000-11-21,46.8500
2000-11-22,46.8600
2000-11-23,
2000-11-24,46.9100
2000-11-27,46.9000
2000-11-28,46.9300
2000-11-29,46.9500
2000-11-30,46.8700
2000-12-01,46.8900
2000-12-04,46.8800
2000-12-05,46.8000
2000-12-06,46.7800
2000-12-07,46.8000
2000-12-08,46.8000
2000-12-11,46.7800
2000-12-12,46.7800
2000-12-13,46.8000
2000-12-14,46.8000
2000-12-15,46.8000
2000-12-18,46.7900
2000-12-19,46.7500
2000-12-20,46.7500
2000-12-21,46.7400
2000-12-22,46.7700
2000-12-25,
2000-12-26,46.7500
2000-12-27,46.7300
2000-12-28,46.7500
2000-12-29,46.7500
2001-01-01,
2001-01-02,46.7400
2001-01-03,46.7500
2001-01-04,46.7800
2001-01-05,46.7600
2001-01-08,46.7300
2001-01-09,46.6800
2001-01-10,46.6800
2001-01-11,46.6800
2001-01-12,47.4700
2001-01-15,
2001-01-16,46.5500
2001-01-17,46.4800
2001-01-18,46.4500
2001-01-19,46.4300
2001-01-22,46.4300
2001-01-23,46.3900
2001-01-24,46.4200
2001-01-25,46.5400
2001-01-26,46.5300
2001-01-29,46.5000
2001-01-30,46.4600
2001-01-31,46.4400
2001-02-01,46.4100
2001-02-02,46.4400
2001-02-05,46.4300
2001-02-06,46.4200
2001-02-07,46.4600
2001-02-08,46.4600
2001-02-09,46.5400
2001-02-12,46.5600
2001-02-13,46.6000
2001-02-14,46.6500
2001-02-15,46.6300
2001-02-16,46.5500
2001-02-19,
2001-02-20,46.6600
2001-02-21,46.6500
2001-02-22,46.6300
2001-02-23,46.6500
2001-02-26,46.6600
2001-02-27,46.6800
2001-02-28,46.5900
2001-03-01,46.5900
2001-03-02,46.5900
2001-03-05,46.5700
2001-03-06,46.5300
2001-03-07,46.5700
